rebalance_date,selected_smoothing_halflife,selected_lower_threshold,selected_upper_threshold,oos_sharpe,oos_accuracy,oos_balanced_accuracy,oos_f1,version,selected_rising_entry_floor
2000-05-26,12,0.48,0.67,0.0,0.7857142857142857,0.5,0.0,current_baseline,
2000-11-27,8,0.45,0.7,0.5217313430647372,0.8225806451612904,0.6460481099656358,0.45,current_baseline,
2001-05-29,12,0.5,0.67,0.0,0.8306451612903226,0.5,0.0,current_baseline,
2001-11-29,8,0.45,0.65,-1.1842496630819093,0.6311475409836066,0.4851687059695958,0.2105263157894736,current_baseline,
2002-05-29,12,0.49,0.67,0.0,0.78125,0.5,0.0,current_baseline,
2002-11-29,12,0.45,0.67,-0.4356571548410732,0.5409836065573771,0.5202170963364994,0.3777777777777777,current_baseline,
2003-05-29,8,0.45,0.66,0.7935003636712425,0.7109375,0.5012422360248447,0.8246445497630331,current_baseline,
2003-12-01,8,0.5,0.66,0.0753251136723292,0.7419354838709677,0.6685305995650823,0.8222222222222222,current_baseline,
2004-06-01,12,0.45,0.67,0.2424864021631509,0.6111111111111112,0.5647368421052632,0.7100591715976331,current_baseline,
2004-12-01,12,0.45,0.67,-0.5886552454690777,0.6370967741935484,0.6262110500130924,0.6938775510204082,current_baseline,
2005-06-01,12,0.45,0.67,-0.6058060669865852,0.6456692913385826,0.5651761517615176,0.7540983606557377,current_baseline,
2005-12-01,12,0.46,0.65,0.0552913963273675,0.7235772357723578,0.5277777777777778,0.8365384615384616,current_baseline,
2006-06-01,12,0.46,0.65,2.5150976139519794,0.8031496062992126,0.8697916666666667,0.8502994011976048,current_baseline,
2006-12-01,0,0.48,0.65,1.0522689688322626,0.9754098360655736,0.9450980392156862,0.9853658536585366,current_baseline,
2007-06-01,0,0.47,0.69,-2.8521797333726013,0.8503937007874016,0.837948717948718,0.8080808080808081,current_baseline,
2007-12-03,4,0.48,0.65,-0.2132029510132559,0.7661290322580645,0.6779907084785133,0.5396825396825397,current_baseline,
2008-06-03,8,0.48,0.67,0.0,0.9291338582677166,0.5,0.0,current_baseline,
2008-12-03,8,0.47,0.67,1.909998413529096,0.8536585365853658,0.8324797843665768,0.8,current_baseline,
2009-06-03,8,0.47,0.66,2.1197145759253884,0.84251968503937,0.5,0.9145299145299144,current_baseline,
2009-12-03,8,0.47,0.65,-0.1911063633863556,0.7317073170731707,0.6463414634146342,0.8176795580110497,current_baseline,
2010-06-03,8,0.49,0.65,0.798829399957747,0.6771653543307087,0.6942771084337349,0.7210884353741497,current_baseline,
2010-12-03,4,0.45,0.66,0.5895349370156878,0.8467741935483871,0.5659722222222222,0.9147982062780268,current_baseline,
2011-06-03,4,0.45,0.66,-0.90537126985069,0.7480314960629921,0.7179280730005368,0.6363636363636364,current_baseline,
2011-12-05,0,0.46,0.65,0.6921982155987308,0.8951612903225806,0.8576243980738363,0.9281767955801103,current_baseline,
2012-06-05,4,0.45,0.65,0.7221724564513169,0.76,0.7375,0.8192771084337349,current_baseline,
2012-12-05,4,0.45,0.65,2.8784393989294026,0.951219512195122,0.5,0.975,current_baseline,
2013-06-05,4,0.45,0.65,0.7515166446404227,0.7559055118110236,0.6557407407407407,0.8426395939086294,current_baseline,
2013-12-05,4,0.47,0.65,0.3022795226279033,0.7886178861788617,0.6579657965796579,0.87,current_baseline,
2014-06-05,12,0.47,0.7,-0.2172193683150637,0.7165354330708661,0.5492610837438423,0.8235294117647058,current_baseline,
2014-12-05,4,0.45,0.65,-2.225457092280974,0.6097560975609756,0.5753739930955121,0.6962025316455697,current_baseline,
2015-06-05,8,0.47,0.65,0.6502340529874333,0.6456692913385826,0.651985111662531,0.5263157894736842,current_baseline,
2015-12-07,12,0.47,0.66,1.3725051042767902,0.75,0.7555642838439383,0.7479674796747967,current_baseline,
2016-06-07,12,0.47,0.65,0.2011936418308245,0.6377952755905512,0.4579579579579579,0.7766990291262136,current_baseline,
2016-12-07,12,0.47,0.65,2.5304243114256058,0.975609756097561,0.5,0.9876543209876544,current_baseline,
2017-06-07,12,0.47,0.65,2.4589736536072224,0.9291338582677166,0.5,0.963265306122449,current_baseline,
2017-12-07,12,0.48,0.66,0.4133523163256425,0.6585365853658537,0.6440565031982942,0.72,current_baseline,
2018-06-07,12,0.48,0.66,-0.4544055995343282,0.7936507936507936,0.7358695652173912,0.8539325842696629,current_baseline,
2018-12-07,12,0.45,0.65,0.0402595807021969,0.6747967479674797,0.6676778819635962,0.7222222222222222,current_baseline,
2019-06-07,12,0.5,0.65,0.4239499329745395,0.6614173228346457,0.5958485958485958,0.7597765363128491,current_baseline,
2019-12-09,8,0.47,0.68,0.357405973970762,0.7258064516129032,0.7374581939799332,0.7605633802816901,current_baseline,
2020-06-09,8,0.5,0.69,0.1955166556694316,0.5984251968503937,0.607770845150312,0.6622516556291391,current_baseline,
2020-12-09,0,0.48,0.67,1.7188169907168789,0.8861788617886179,0.8036437246963564,0.9320388349514565,current_baseline,
2021-06-09,8,0.5,0.68,1.0277106797440152,0.7480314960629921,0.6149193548387097,0.84,current_baseline,
2021-12-09,8,0.46,0.67,-1.079296053956523,0.7661290322580645,0.6591919191919191,0.4528301886792453,current_baseline,
2022-06-09,0,0.48,0.7,-0.1282688881623942,0.8809523809523809,0.8423928271224432,0.8051948051948052,current_baseline,
2022-12-09,0,0.45,0.7,0.0709114241653227,0.8373983739837398,0.8377842411422527,0.8305084745762712,current_baseline,
2023-06-09,0,0.48,0.7,2.5596863395516074,0.9523809523809524,0.9571428571428572,0.9552238805970148,current_baseline,
2023-12-11,4,0.49,0.65,2.0653215528394604,0.9112903225806452,0.8328092243186582,0.9478672985781992,current_baseline,
2024-06-11,4,0.49,0.65,-0.4222610562485964,0.7936507936507936,0.7088517596871667,0.865979381443299,current_baseline,
2024-12-11,0,0.45,0.7,-0.1262757986865192,0.8524590163934426,0.8429633867276888,0.8043478260869565,current_baseline,
2025-06-11,0,0.45,0.7,1.040119557369722,0.873015873015873,0.802482460874258,0.9245283018867924,current_baseline,
2025-12-11,4,0.48,0.65,-0.5125561262599838,0.7407407407407407,0.7666666666666666,0.7123287671232876,current_baseline,
2000-05-26,4,0.49,0.67,-1.5078632304884996,0.7857142857142857,0.6071428571428572,0.37209302325581395,dynamic_rising_floor,0.5
2000-11-27,4,0.47,0.67,0.026046163511653918,0.8790322580645161,0.8459821428571428,0.7457627118644068,dynamic_rising_floor,0.5
