version,reentry_date,lag_days
paper_baseline_gspc_to_spy,2000-08-29,90
paper_baseline_gspc_to_spy,2001-04-30,90
paper_baseline_gspc_to_spy,2001-11-14,90
paper_baseline_gspc_to_spy,2001-12-05,0
paper_baseline_gspc_to_spy,2001-12-27,20
paper_baseline_gspc_to_spy,2002-01-04,0
paper_baseline_gspc_to_spy,2002-03-04,0
paper_baseline_gspc_to_spy,2002-03-15,11
paper_baseline_gspc_to_spy,2002-10-30,0
paper_baseline_gspc_to_spy,2002-11-14,6
paper_baseline_gspc_to_spy,2003-01-09,22
paper_baseline_gspc_to_spy,2003-04-03,72
paper_baseline_gspc_to_spy,2003-07-29,90
paper_baseline_gspc_to_spy,2003-07-31,85
paper_baseline_gspc_to_spy,2003-08-18,90
paper_baseline_gspc_to_spy,2003-10-02,42
paper_baseline_gspc_to_spy,2004-04-01,22
paper_baseline_gspc_to_spy,2004-04-22,3
paper_baseline_gspc_to_spy,2004-06-01,34
paper_baseline_gspc_to_spy,2004-08-26,43
paper_baseline_gspc_to_spy,2004-11-01,66
paper_baseline_gspc_to_spy,2005-02-07,90
paper_baseline_gspc_to_spy,2005-05-19,90
paper_baseline_gspc_to_spy,2005-09-08,77
paper_baseline_gspc_to_spy,2005-09-30,87
paper_baseline_gspc_to_spy,2005-11-08,35
paper_baseline_gspc_to_spy,2006-02-17,50
paper_baseline_gspc_to_spy,2006-06-01,13
paper_baseline_gspc_to_spy,2006-07-11,0
paper_baseline_gspc_to_spy,2006-07-31,0
paper_baseline_gspc_to_spy,2007-03-26,25
paper_baseline_gspc_to_spy,2007-07-03,84
paper_baseline_gspc_to_spy,2007-09-19,0
paper_baseline_gspc_to_spy,2007-10-31,0
paper_baseline_gspc_to_spy,2008-04-23,90
paper_baseline_gspc_to_spy,2009-03-26,0
paper_baseline_gspc_to_spy,2010-02-18,13
paper_baseline_gspc_to_spy,2010-07-28,70
paper_baseline_gspc_to_spy,2010-09-10,23
paper_baseline_gspc_to_spy,2011-03-23,90
paper_baseline_gspc_to_spy,2011-07-08,0
paper_baseline_gspc_to_spy,2011-10-17,77
paper_baseline_gspc_to_spy,2011-12-05,14
paper_baseline_gspc_to_spy,2012-07-06,0
paper_baseline_gspc_to_spy,2012-07-13,0
paper_baseline_gspc_to_spy,2012-12-05,43
paper_baseline_gspc_to_spy,2013-07-08,82
paper_baseline_gspc_to_spy,2013-09-11,82
paper_baseline_gspc_to_spy,2014-02-13,13
paper_baseline_gspc_to_spy,2014-10-28,83
paper_baseline_gspc_to_spy,2014-12-18,51
paper_baseline_gspc_to_spy,2015-01-02,66
paper_baseline_gspc_to_spy,2015-01-08,0
paper_baseline_gspc_to_spy,2015-01-22,0
paper_baseline_gspc_to_spy,2015-02-03,0
paper_baseline_gspc_to_spy,2015-03-16,41
paper_baseline_gspc_to_spy,2015-03-27,52
paper_baseline_gspc_to_spy,2015-04-06,62
paper_baseline_gspc_to_spy,2015-05-01,87
paper_baseline_gspc_to_spy,2015-05-08,0
paper_baseline_gspc_to_spy,2015-05-27,16
paper_baseline_gspc_to_spy,2015-05-29,18
paper_baseline_gspc_to_spy,2015-06-19,16
paper_baseline_gspc_to_spy,2015-07-17,21
paper_baseline_gspc_to_spy,2015-10-16,57
paper_baseline_gspc_to_spy,2016-03-02,90
paper_baseline_gspc_to_spy,2016-09-21,89
paper_baseline_gspc_to_spy,2016-11-10,0
paper_baseline_gspc_to_spy,2018-05-08,90
paper_baseline_gspc_to_spy,2019-02-08,88
paper_baseline_gspc_to_spy,2019-06-07,88
paper_baseline_gspc_to_spy,2019-09-11,40
paper_baseline_gspc_to_spy,2020-01-28,90
paper_baseline_gspc_to_spy,2020-02-04,90
paper_baseline_gspc_to_spy,2020-04-09,0
paper_baseline_gspc_to_spy,2020-04-15,6
paper_baseline_gspc_to_spy,2020-04-24,4
paper_baseline_gspc_to_spy,2020-05-04,4
paper_baseline_gspc_to_spy,2020-05-15,3
paper_baseline_gspc_to_spy,2020-05-19,7
paper_baseline_gspc_to_spy,2020-05-26,14
paper_baseline_gspc_to_spy,2020-07-06,55
paper_baseline_gspc_to_spy,2020-07-10,59
paper_baseline_gspc_to_spy,2020-07-27,76
paper_baseline_gspc_to_spy,2020-07-29,78
paper_baseline_gspc_to_spy,2020-10-01,83
paper_baseline_gspc_to_spy,2020-10-05,87
paper_baseline_gspc_to_spy,2020-10-07,89
paper_baseline_gspc_to_spy,2020-10-23,86
paper_baseline_gspc_to_spy,2020-11-04,12
paper_baseline_gspc_to_spy,2021-02-02,89
